system_metadata.id,organisation.country,organisation.url,repository_metadata.software.name,repository_metadata.metadata_record_count,repository_metadata.type,repository_metadata.url,repository_metadata.full_text_record_count,repository_metadata.oai_url,system_metadata.uri,repository_metadata.software.name_other
243,de,https://www.fh-dortmund.de/de/index.php,opus,73.0,institutional,https://opus.bsz-bw.de/fhdo,,https://opus.bsz-bw.de/fhdo/oai,https://v2.sherpa.ac.uk/id/repository/243,
244,de,http://www.en.w-hs.de/,other,1914.0,institutional,http://fhge.opus.hbz-nrw.de/,,,https://v2.sherpa.ac.uk/id/repository/244,TYPO3
249,it,http://www.uniroma1.it/,dspace,2186.0,institutional,http://padis.uniroma1.it/,1.0,http://padis.uniroma1.it/oai/request,https://v2.sherpa.ac.uk/id/repository/249,
258,se,http://www.mdh.se/,diva_portal,11255.0,institutional,http://mdh.diva-portal.org/smash/search.jsf,0.0,http://mdh.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/258,
259,se,http://www.hj.se/,diva_portal,12251.0,institutional,http://hj.diva-portal.org/smash/search.jsf,0.0,http://hj.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/259,
260,se,http://www.kth.se/,other,40650.0,institutional,http://kth.diva-portal.org/smash/search.jsf?rvn=1,1.0,http://kth.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/260,Diva-Portal
261,se,http://www.liu.se/,diva_portal,40596.0,institutional,http://liu.diva-portal.org/smash/search.jsf,25.0,http://liu.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/261,
262,se,https://www.sh.se,diva_portal,11708.0,institutional,http://sh.diva-portal.org,0.0,http://sh.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/262,
263,se,http://www.su.se/,diva_portal,22728.0,institutional,http://su.diva-portal.org/smash/search.jsf,0.0,http://su.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/263,
264,se,http://www.umu.se/,other,33691.0,institutional,http://umu.diva-portal.org/smash/search.jsf,0.0,http://umu.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/264,Diva-Portal
265,se,https://lnu.se,diva_portal,28764.0,institutional,http://lnu.diva-portal.org/smash/search.jsf,0.0,http://lnu.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/265,
266,de,https://www.uni-potsdam.de,opus,7019.0,institutional,http://opus.kobv.de/ubp/,,http://opus.kobv.de/ubp/oai2/oai2.php/,https://v2.sherpa.ac.uk/id/repository/266,
268,ca,http://www.queensu.ca/,dspace,12838.0,institutional,http://qspace.library.queensu.ca/,,https://qspace.library.queensu.ca/oai/request,https://v2.sherpa.ac.uk/id/repository/268,
269,gb,http://www.qub.ac.uk/,other,71.0,institutional,http://www.qub.ac.uk/schools/SchoolofPoliticsInternationalStudiesandPhilosophy/Research/PaperSeries/,,,https://v2.sherpa.ac.uk/id/repository/269,HTML
270,au,http://www.qut.edu.au/,eprints,177155.0,institutional,http://eprints.qut.edu.au/,34191.0,http://eprints.qut.edu.au/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/270,
271,za,https://www.uj.ac.za/,other,846.0,institutional,http://etd.rau.ac.za/,,,https://v2.sherpa.ac.uk/id/repository/271,ETD-db
273,br,http://rabci.org/,drupal,489.0,institutional,http://rabci.org/rabci/,,http://rabci.org/rabci/oai,https://v2.sherpa.ac.uk/id/repository/273,
274,ve,http://www.ula.ve/,dspace,32136.0,institutional,http://www.saber.ula.ve/,,http://www.saber.ula.ve/oai/request,https://v2.sherpa.ac.uk/id/repository/274,
276,au,http://www.uow.edu.au/,digital_commons,77781.0,institutional,http://ro.uow.edu.au/,18924.0,http://ro.uow.edu.au/do/oai/,https://v2.sherpa.ac.uk/id/repository/276,
279,gb,https://www.royalholloway.ac.uk/home.aspx,pure,22276.0,institutional,https://pure.royalholloway.ac.uk/portal/,2972.0,http://digirep.rhul.ac.uk/p/oai,https://v2.sherpa.ac.uk/id/repository/279,
280,de,http://www.uni-saarland.de,other,1062.0,institutional,http://saardok.bsz-bw.de,,,https://v2.sherpa.ac.uk/id/repository/280,TYPO3
282,at,http://www.univie.ac.at/,eprints,1877.0,institutional,http://sammelpunkt.philo.at:8080/,1143.0,http://sammelpunkt.philo.at:8080/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/282,
